"","X","date","value"
"1",1,"1986-03-01",0.87
"2",2,"1986-04-01",1.37
"3",3,"1986-05-01",1.32
"4",4,"1986-06-01",1.57
"5",5,"1986-07-01",2.23
"6",6,"1986-08-01",2.9
"7",7,"1986-09-01",3.3
"8",8,"1986-10-01",3.45
"9",9,"1986-11-01",5.22
"10",10,"1986-12-01",10.5
"11",11,"1987-01-01",14.65
"12",12,"1987-02-01",22.26
"13",13,"1987-03-01",14
"14",14,"1987-04-01",16.7
"15",15,"1987-05-01",25.69
"16",16,"1987-06-01",18.89
"17",17,"1987-07-01",9.47
"18",18,"1987-08-01",8.48
"19",19,"1987-09-01",8.73
"20",20,"1987-10-01",10.41
"21",21,"1987-11-01",13.74
"22",22,"1987-12-01",15.61
"23",23,"1988-01-01",17.23
"24",24,"1988-02-01",18.65
"25",25,"1988-03-01",16.91
"26",26,"1988-04-01",20.23
"27",27,"1988-05-01",18.67
"28",28,"1988-06-01",20.22
"29",29,"1988-07-01",24.49
"30",30,"1988-08-01",22.68
"31",31,"1988-09-01",25.99
"32",32,"1988-10-01",29.48
"33",33,"1988-11-01",27.92
"34",34,"1988-12-01",30.04
"35",35,"1989-01-01",23.87
"36",36,"1989-02-01",19.36
"37",37,"1989-03-01",20.56
"38",38,"1989-04-01",11.47
"39",39,"1989-05-01",11.59
"40",40,"1989-06-01",27.34
"41",41,"1989-07-01",32.76
"42",42,"1989-08-01",35.41
"43",43,"1989-09-01",38.35
"44",44,"1989-10-01",47.24
"45",45,"1989-11-01",48.07
"46",46,"1989-12-01",64.22
"47",47,"1990-01-01",68.23
"48",48,"1990-02-01",79.94
"49",49,"1990-03-01",36.39
"50",50,"1990-04-01",5.12
"51",51,"1990-05-01",5.94
"52",52,"1990-06-01",9.38
"53",53,"1990-07-01",14.34
"54",54,"1990-08-01",12.65
"55",55,"1990-09-01",17.5
"56",56,"1990-10-01",21.97
"57",57,"1990-11-01",23.05
"58",58,"1990-12-01",27.78
"59",59,"1991-01-01",23.46
"60",60,"1991-02-01",8.72
"61",61,"1991-03-01",10.01
"62",62,"1991-04-01",12.49
"63",63,"1991-05-01",12.64
"64",64,"1991-06-01",10.66
"65",65,"1991-07-01",13.26
"66",66,"1991-08-01",15.97
"67",67,"1991-09-01",20.01
"68",68,"1991-10-01",26.1
"69",69,"1991-11-01",31.98
"70",70,"1991-12-01",30.46
"71",71,"1992-01-01",29.07
"72",72,"1992-02-01",30.32
"73",73,"1992-03-01",25.2
"74",74,"1992-04-01",23.75
"75",75,"1992-05-01",22.94
"76",76,"1992-06-01",24.24
"77",77,"1992-07-01",26.31
"78",78,"1992-08-01",25.73
"79",79,"1992-09-01",27.65
"80",80,"1992-10-01",28.19
"81",81,"1992-11-01",26.09
"82",82,"1992-12-01",26.06
"83",83,"1993-01-01",28.78
"84",84,"1993-02-01",28.56
"85",85,"1993-03-01",28.54
"86",86,"1993-04-01",30.39
"87",87,"1993-05-01",30.93
"88",88,"1993-06-01",31.8
"89",89,"1993-07-01",32.79
"90",90,"1993-08-01",34.8
"91",91,"1993-09-01",37.43
"92",92,"1993-10-01",38.39
"93",93,"1993-11-01",38.07
"94",94,"1993-12-01",40.64
"95",95,"1994-01-01",43.25
"96",96,"1994-02-01",41.46
"97",97,"1994-03-01",46.98
"98",98,"1994-04-01",45.97
"99",99,"1994-05-01",48.12
"100",100,"1994-06-01",48.43
"101",101,"1994-07-01",6.68
"102",102,"1994-08-01",4.16
"103",103,"1994-09-01",3.85
"104",104,"1994-10-01",3.65
"105",105,"1994-11-01",4.11
"106",106,"1994-12-01",3.84
"107",107,"1995-01-01",3.48
"108",108,"1995-02-01",3.24
"109",109,"1995-03-01",4.41
"110",110,"1995-04-01",4.22
"111",111,"1995-05-01",4.27
"112",112,"1995-06-01",4.05
"113",113,"1995-07-01",4.01
"114",114,"1995-08-01",3.81
"115",115,"1995-09-01",3.25
"116",116,"1995-10-01",3.06
"117",117,"1995-11-01",2.84
"118",118,"1995-12-01",2.73
"119",119,"1996-01-01",2.56
"120",120,"1996-02-01",2.31
"121",121,"1996-03-01",2.2
"122",122,"1996-04-01",2.03
"123",123,"1996-05-01",2
"124",124,"1996-06-01",1.94
"125",125,"1996-07-01",1.91
"126",126,"1996-08-01",1.95
"127",127,"1996-09-01",1.88
"128",128,"1996-10-01",1.86
"129",129,"1996-11-01",1.79
"130",130,"1996-12-01",1.79
"131",131,"1997-01-01",1.74
"132",132,"1997-02-01",1.66
"133",133,"1997-03-01",1.63
"134",134,"1997-04-01",1.66
"135",135,"1997-05-01",1.58
"136",136,"1997-06-01",1.59
"137",137,"1997-07-01",1.61
"138",138,"1997-08-01",1.58
"139",139,"1997-09-01",1.58
"140",140,"1997-10-01",1.68
"141",141,"1997-11-01",2.98
"142",142,"1997-12-01",2.92
"143",143,"1998-01-01",2.67
"144",144,"1998-02-01",2.11
"145",145,"1998-03-01",2.18
"146",146,"1998-04-01",1.69
"147",147,"1998-05-01",1.63
"148",148,"1998-06-01",1.6
"149",149,"1998-07-01",1.69
"150",150,"1998-08-01",1.47
"151",151,"1998-09-01",2.49
"152",152,"1998-10-01",2.93
"153",153,"1998-11-01",2.58
"154",154,"1998-12-01",2.38
"155",155,"1999-01-01",2.17
"156",156,"1999-02-01",2.35
"157",157,"1999-03-01",3.29
"158",158,"1999-04-01",2.28
"159",159,"1999-05-01",1.96
"160",160,"1999-06-01",1.63
"161",161,"1999-07-01",1.62
"162",162,"1999-08-01",1.55
"163",163,"1999-09-01",1.47
"164",164,"1999-10-01",1.37
"165",165,"1999-11-01",1.37
"166",166,"1999-12-01",1.58
"167",167,"2000-01-01",1.44
"168",168,"2000-02-01",1.44
"169",169,"2000-03-01",1.44
"170",170,"2000-04-01",1.28
"171",171,"2000-05-01",1.49
"172",172,"2000-06-01",1.39
"173",173,"2000-07-01",1.3
"174",174,"2000-08-01",1.4
"175",175,"2000-09-01",1.22
"176",176,"2000-10-01",1.28
"177",177,"2000-11-01",1.22
"178",178,"2000-12-01",1.19
"179",179,"2001-01-01",1.26
"180",180,"2001-02-01",1.01
"181",181,"2001-03-01",1.25
"182",182,"2001-04-01",1.18
"183",183,"2001-05-01",1.33
"184",184,"2001-06-01",1.27
"185",185,"2001-07-01",1.5
"186",186,"2001-08-01",1.6
"187",187,"2001-09-01",1.32
"188",188,"2001-10-01",1.53
"189",189,"2001-11-01",1.39
"190",190,"2001-12-01",1.39
"191",191,"2002-01-01",1.53
"192",192,"2002-02-01",1.25
"193",193,"2002-03-01",1.37
"194",194,"2002-04-01",1.48
"195",195,"2002-05-01",1.4
"196",196,"2002-06-01",1.31
"197",197,"2002-07-01",1.53
"198",198,"2002-08-01",1.45
"199",199,"2002-09-01",1.38
"200",200,"2002-10-01",1.64
"201",201,"2002-11-01",1.53
"202",202,"2002-12-01",1.73
"203",203,"2003-01-01",1.97
"204",204,"2003-02-01",1.83
"205",205,"2003-03-01",1.77
"206",206,"2003-04-01",1.87
"207",207,"2003-05-01",1.96
"208",208,"2003-06-01",1.85
"209",209,"2003-07-01",2.08
"210",210,"2003-08-01",1.76
"211",211,"2003-09-01",1.67
"212",212,"2003-10-01",1.63
"213",213,"2003-11-01",1.34
"214",214,"2003-12-01",1.37
"215",215,"2004-01-01",1.26
"216",216,"2004-02-01",1.08
"217",217,"2004-03-01",1.37
"218",218,"2004-04-01",1.17
"219",219,"2004-05-01",1.22
"220",220,"2004-06-01",1.22
"221",221,"2004-07-01",1.28
"222",222,"2004-08-01",1.29
"223",223,"2004-09-01",1.24
"224",224,"2004-10-01",1.21
"225",225,"2004-11-01",1.25
"226",226,"2004-12-01",1.48
"227",227,"2005-01-01",1.38
"228",228,"2005-02-01",1.22
"229",229,"2005-03-01",1.52
"230",230,"2005-04-01",1.41
"231",231,"2005-05-01",1.5
"232",232,"2005-06-01",1.58
"233",233,"2005-07-01",1.51
"234",234,"2005-08-01",1.65
"235",235,"2005-09-01",1.5
"236",236,"2005-10-01",1.4
"237",237,"2005-11-01",1.38
"238",238,"2005-12-01",1.47
"239",239,"2006-01-01",1.43
"240",240,"2006-02-01",1.14
"241",241,"2006-03-01",1.42
"242",242,"2006-04-01",1.08
"243",243,"2006-05-01",1.28
"244",244,"2006-06-01",1.18
"245",245,"2006-07-01",1.17
"246",246,"2006-08-01",1.25
"247",247,"2006-09-01",1.05
"248",248,"2006-10-01",1.09
"249",249,"2006-11-01",1.02
"250",250,"2006-12-01",0.98
"251",251,"2007-01-01",1.08
"252",252,"2007-02-01",0.87
"253",253,"2007-03-01",1.05
"254",254,"2007-04-01",0.94
"255",255,"2007-05-01",1.02
"256",256,"2007-06-01",0.9
"257",257,"2007-07-01",0.97
"258",258,"2007-08-01",0.99
"259",259,"2007-09-01",0.8
"260",260,"2007-10-01",0.92
"261",261,"2007-11-01",0.84
"262",262,"2007-12-01",0.84
"263",263,"2008-01-01",0.92
"264",264,"2008-02-01",0.8
"265",265,"2008-03-01",0.84
"266",266,"2008-04-01",0.9
"267",267,"2008-05-01",0.87
"268",268,"2008-06-01",0.95
"269",269,"2008-07-01",1.06
"270",270,"2008-08-01",1.01
"271",271,"2008-09-01",1.1
"272",272,"2008-10-01",1.17
"273",273,"2008-11-01",1
"274",274,"2008-12-01",1.11
"275",275,"2009-01-01",1.04
"276",276,"2009-02-01",0.85
"277",277,"2009-03-01",0.97
"278",278,"2009-04-01",0.84
"279",279,"2009-05-01",0.77
"280",280,"2009-06-01",0.75
"281",281,"2009-07-01",0.78
"282",282,"2009-08-01",0.69
"283",283,"2009-09-01",0.69
"284",284,"2009-10-01",0.69
"285",285,"2009-11-01",0.66
"286",286,"2009-12-01",0.72
"287",287,"2010-01-01",0.66
"288",288,"2010-02-01",0.59
"289",289,"2010-03-01",0.76
"290",290,"2010-04-01",0.66
"291",291,"2010-05-01",0.75
"292",292,"2010-06-01",0.79
"293",293,"2010-07-01",0.86
"294",294,"2010-08-01",0.89
"295",295,"2010-09-01",0.84
"296",296,"2010-10-01",0.81
"297",297,"2010-11-01",0.81
"298",298,"2010-12-01",0.93
"299",299,"2011-01-01",0.86
"300",300,"2011-02-01",0.84
"301",301,"2011-03-01",0.92
"302",302,"2011-04-01",0.84
"303",303,"2011-05-01",0.99
"304",304,"2011-06-01",0.95
"305",305,"2011-07-01",0.97
"306",306,"2011-08-01",1.07
"307",307,"2011-09-01",0.94
"308",308,"2011-10-01",0.88
"309",309,"2011-11-01",0.86
"310",310,"2011-12-01",0.9
"311",311,"2012-01-01",0.89
"312",312,"2012-02-01",0.74
"313",313,"2012-03-01",0.81
"314",314,"2012-04-01",0.7
"315",315,"2012-05-01",0.73
"316",316,"2012-06-01",0.64
"317",317,"2012-07-01",0.68
"318",318,"2012-08-01",0.69
"319",319,"2012-09-01",0.54
"320",320,"2012-10-01",0.61
"321",321,"2012-11-01",0.54
"322",322,"2012-12-01",0.53
"323",323,"2013-01-01",0.59
"324",324,"2013-02-01",0.48
"325",325,"2013-03-01",0.54
"326",326,"2013-04-01",0.6
"327",327,"2013-05-01",0.58
"328",328,"2013-06-01",0.59
"329",329,"2013-07-01",0.71
"330",330,"2013-08-01",0.7
"331",331,"2013-09-01",0.7
"332",332,"2013-10-01",0.8
"333",333,"2013-11-01",0.71
"334",334,"2013-12-01",0.78
"335",335,"2014-01-01",0.84
"336",336,"2014-02-01",0.78
"337",337,"2014-03-01",0.76
"338",338,"2014-04-01",0.82
"339",339,"2014-05-01",0.86
"340",340,"2014-06-01",0.82
"341",341,"2014-07-01",0.94
"342",342,"2014-08-01",0.86
"343",343,"2014-09-01",0.9
"344",344,"2014-10-01",0.94
"345",345,"2014-11-01",0.84
"346",346,"2014-12-01",0.96
"347",347,"2015-01-01",0.93
"348",348,"2015-02-01",0.82
"349",349,"2015-03-01",1.04
"350",350,"2015-04-01",0.95
"351",351,"2015-05-01",0.98
"352",352,"2015-06-01",1.07
"353",353,"2015-07-01",1.18
"354",354,"2015-08-01",1.11
"355",355,"2015-09-01",1.11
"356",356,"2015-10-01",1.11
"357",357,"2015-11-01",1.06
"358",358,"2015-12-01",1.16
"359",359,"2016-01-01",1.05
"360",360,"2016-02-01",1
"361",361,"2016-03-01",1.16
"362",362,"2016-04-01",1.05
"363",363,"2016-05-01",1.11
"364",364,"2016-06-01",1.16
"365",365,"2016-07-01",1.11
"366",366,"2016-08-01",1.21
"367",367,"2016-09-01",1.11
"368",368,"2016-10-01",1.05
"369",369,"2016-11-01",1.04
"370",370,"2016-12-01",1.12
"371",371,"2017-01-01",1.08
"372",372,"2017-02-01",0.86
"373",373,"2017-03-01",1.05
"374",374,"2017-04-01",0.79
"375",375,"2017-05-01",0.93
"376",376,"2017-06-01",0.81
"377",377,"2017-07-01",0.8
"378",378,"2017-08-01",0.8
"379",379,"2017-09-01",0.64
"380",380,"2017-10-01",0.64
"381",381,"2017-11-01",0.57
"382",382,"2017-12-01",0.54
"383",383,"2018-01-01",0.58
"384",384,"2018-02-01",0.46
"385",385,"2018-03-01",0.53
"386",386,"2018-04-01",0.52
"387",387,"2018-05-01",0.52
"388",388,"2018-06-01",0.52
"389",389,"2018-07-01",0.54
"390",390,"2018-08-01",0.57
"391",391,"2018-09-01",0.47
"392",392,"2018-10-01",0.54
"393",393,"2018-11-01",0.49
"394",394,"2018-12-01",0.49
"395",395,"2019-01-01",0.54
"396",396,"2019-02-01",0.49
"397",397,"2019-03-01",0.47
"398",398,"2019-04-01",0.52
"399",399,"2019-05-01",0.54
"400",400,"2019-06-01",0.47
"401",401,"2019-07-01",0.57
"402",402,"2019-08-01",0.5
"403",403,"2019-09-01",0.46
"404",404,"2019-10-01",0.48
"405",405,"2019-11-01",0.38
"406",406,"2019-12-01",0.37
"407",407,"2020-01-01",0.38
"408",408,"2020-02-01",0.29
"409",409,"2020-03-01",0.34
"410",410,"2020-04-01",0.28
"411",411,"2020-05-01",0.24
"412",412,"2020-06-01",0.21
"413",413,"2020-07-01",0.19
"414",414,"2020-08-01",0.16
"415",415,"2020-09-01",0.16
"416",416,"2020-10-01",0.16
"417",417,"2020-11-01",0.15
"418",418,"2020-12-01",0.16
"419",419,"2021-01-01",0.15
"420",420,"2021-02-01",0.13
"421",421,"2021-03-01",0.2
"422",422,"2021-04-01",0.21
"423",423,"2021-05-01",0.27
"424",424,"2021-06-01",0.31
"425",425,"2021-07-01",0.36
"426",426,"2021-08-01",0.43
"427",427,"2021-09-01",0.44
"428",428,"2021-10-01",0.49
"429",429,"2021-11-01",0.47
